央视频道,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8
CCTV1,http://183.207.248.135/ott.js.chinamobile.com/PLTV/3/224/3221227494/index.m3u8
CCTV1,http://223.110.235.14/ott.js.chinamobile.com/PLTV/3/224/3221227644/index.m3u8
CCTV1,http://223.110.236.9/ott.js.chinamobile.com/PLTV/3/224/3221228146/index.m3u8
CCTV1,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV1,http://223.110.236.5/ott.js.chinamobile.com/PLTV/3/224/3221228075/index.m3u8
CCTV1,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228149/index.m3u8
CCTV1,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221227292/index.m3u8
CCTV1,http://183.207.249.140/ott.js.chinamobile.com/PLTV/3/224/3221227023/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228300/index.m3u8
CCTV2,http://223.110.236.20/ott.js.chinamobile.com/PLTV/3/224/3221228094/index.m3u8
CCTV2,http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221226993/index.m3u8
CCTV2,http://183.207.248.176/ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8
CCTV2,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV2,http://183.207.249.167/ott.js.chinamobile.com/PLTV/3/224/3221227427/index.m3u8
CCTV2,http://223.110.235.14/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV2,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228392/index.m3u8
CCTV3,http://223.110.235.20/ott.js.chinamobile.com/PLTV/3/224/3221225588/index.m3u8
CCTV3,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221227481/index.m3u8
CCTV3,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV3,http://223.110.235.6/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV3,http://223.110.235.14/ott.js.chinamobile.com/PLTV/3/224/3221227623/index.m3u8
CCTV3,http://183.207.249.165/ott.js.chinamobile.com/PLTV/3/224/3221227424/index.m3u8
CCTV3,http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221227546/index.m3u8
